County,FIPS,1/1/90,2/1/90,3/1/90,4/1/90,5/1/90,6/1/90,7/1/90,8/1/90,9/1/90,10/1/90,11/1/90,12/1/90,1/1/91,2/1/91,3/1/91,4/1/91,5/1/91,6/1/91,7/1/91,8/1/91,9/1/91,10/1/91,11/1/91,12/1/91,1/1/92,2/1/92,3/1/92,4/1/92,5/1/92,6/1/92,7/1/92,8/1/92,9/1/92,10/1/92,11/1/92,12/1/92,1/1/93,2/1/93,3/1/93,4/1/93,5/1/93,6/1/93,7/1/93,8/1/93,9/1/93,10/1/93,11/1/93,12/1/93,1/1/94,2/1/94,3/1/94,4/1/94,5/1/94,6/1/94,7/1/94,8/1/94,9/1/94,10/1/94,11/1/94,12/1/94,1/1/95,2/1/95,3/1/95,4/1/95,5/1/95,6/1/95,7/1/95,8/1/95,9/1/95,10/1/95,11/1/95,12/1/95,1/1/96,2/1/96,3/1/96,4/1/96,5/1/96,6/1/96,7/1/96,8/1/96,9/1/96,10/1/96,11/1/96,12/1/96,1/1/97,2/1/97,3/1/97,4/1/97,5/1/97,6/1/97,7/1/97,8/1/97,9/1/97,10/1/97,11/1/97,12/1/97,1/1/98,2/1/98,3/1/98,4/1/98,5/1/98,6/1/98,7/1/98,8/1/98,9/1/98,10/1/98,11/1/98,12/1/98,1/1/99,2/1/99,3/1/99,4/1/99,5/1/99,6/1/99,7/1/99,8/1/99,9/1/99,10/1/99,11/1/99,12/1/99,1/1/00,2/1/00,3/1/00,4/1/00,5/1/00,6/1/00,7/1/00,8/1/00,9/1/00,10/1/00,11/1/00,12/1/00,1/1/01,2/1/01,3/1/01,4/1/01,5/1/01,6/1/01,7/1/01,8/1/01,9/1/01,10/1/01,11/1/01,12/1/01,1/1/02,2/1/02,3/1/02,4/1/02,5/1/02,6/1/02,7/1/02,8/1/02,9/1/02,10/1/02,11/1/02,12/1/02,1/1/03,2/1/03,3/1/03,4/1/03,5/1/03,6/1/03,7/1/03,8/1/03,9/1/03,10/1/03,11/1/03,12/1/03,1/1/04,2/1/04,3/1/04,4/1/04,5/1/04,6/1/04,7/1/04,8/1/04,9/1/04,10/1/04,11/1/04,12/1/04,1/1/05,2/1/05,3/1/05,4/1/05,5/1/05,6/1/05,7/1/05,8/1/05,9/1/05,10/1/05,11/1/05,12/1/05,1/1/06,2/1/06,3/1/06,4/1/06,5/1/06,6/1/06,7/1/06,8/1/06,9/1/06,10/1/06,11/1/06,12/1/06,1/1/07,2/1/07,3/1/07,4/1/07,5/1/07,6/1/07,7/1/07,8/1/07,9/1/07,10/1/07,11/1/07,12/1/07,1/1/08,2/1/08,3/1/08,4/1/08,5/1/08,6/1/08,7/1/08,8/1/08,9/1/08,10/1/08,11/1/08,12/1/08,1/1/09,2/1/09,3/1/09,4/1/09,5/1/09,6/1/09,7/1/09,8/1/09,9/1/09,10/1/09,11/1/09,12/1/09,1/1/10,2/1/10,3/1/10,4/1/10,5/1/10,6/1/10,7/1/10,8/1/10,9/1/10,10/1/10,11/1/10,12/1/10,1/1/11,2/1/11,3/1/11,4/1/11,5/1/11,6/1/11,7/1/11,8/1/11,9/1/11,10/1/11,11/1/11,12/1/11,1/1/12,2/1/12,3/1/12,4/1/12,5/1/12,6/1/12,7/1/12,8/1/12,9/1/12,10/1/12,11/1/12,12/1/12,1/1/13,2/1/13,3/1/13,4/1/13,5/1/13,6/1/13,7/1/13,8/1/13,9/1/13,10/1/13,11/1/13,12/1/13,1/1/14,2/1/14,3/1/14,4/1/14,5/1/14,6/1/14,7/1/14,8/1/14,9/1/14,10/1/14,11/1/14,12/1/14,1/1/15,2/1/15,3/1/15,4/1/15,5/1/15,6/1/15,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16,7/1/16,8/1/16,9/1/16,10/1/16,11/1/16,12/1/16,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23
CA,06000,194952,196273,194856,196111,195281,194410,193088,192180,189979,187630,192020,190375,192054,194806,202666,207718,211001,206722,206069,200340,197801,196021,194192,199452,196410,198220,200500,198700,203420,199460,199150,194670,195840,194000,189670,193330,191670,187440,189130,192600,188850,188650,190540,189010,186740,185920,184700,184980,183046,182258,185472,186968,185500,189680,188081,185790,185158,181862,180907,177421,177200,172974,175274,176768,176448,180649,180253,182467,180529,175861,176203,175372,174859,170860,175975,178536,179095,181191,182416,180825,179740,174454,175495,171940,175625,167790,177735,181218,185010,188801,190625,191856,191600,189283,190763,186555,188094,183898,193909,198252,202956,209003,210831,207780,202138,194961,197058,198121,202201,197870,212330,216490,220410,224678,220529,224195,218713,215822,218537,225264,226870,227155,233138,237057,240467,243102,242097,254686,246533,251217,250662,248354,244112,241693,257548,255310,255857,267412,267517,282421,275624,263020,270210,281332,287076,294865,305838,317121,319591,324638,321903,334273,322452,324672,328440,338836,336212,326645,351130,364040,367630,374530,381940,406140,384690,379120,384470,401720,404460,391550,428060,452680,463320,468050,461760,473520,463630,459530,471980,474270,484580,470920,496890,510400,522530,542330,539840,567320,543510,537930,547870,547400,549460,534400,562130,562820,563860,575850,567860,577300,557150,552020,555280,569560,551220,554280,582930,594110,594530,591280,587560,588670,535760,501730,490511,480820,427200,418260,414520,404590,386620,373100,355000,352730,319310,307210,287880,283060,249960,245230,249790,253110,263440,274640,285310,293400,296610,297500,304550,306860,284600,278190,300900,307000,327460,313890,318550,320860,309720,305150,296480,304770,279220,271370,286550,294140,292850,296410,297660,297060,288700,277450,279910,288950,271490,268810,295630,312500,316460,320990,334220,343800,344760,340910,345560,365840,336650,333180,379000,402830,417350,428700,433910,441010,428290,427540,423090,438790,412820,406460,437100,448720,465470,457700,464750,481250,462380,450460,444630,453270,428980,429930,464640,484370,489190,492250,490780,497520,484670,478780,477060,489770,467160,444780,484120,509240,519930,518980,511420,527490,516450,513520,502490,510560,491840,480270,518600,537950,550239.01,555410,549460,565330,555410,546430,546820,546550,527780,522440,564830,584460,600860,602770,591230,595920,578420,572000,554240,557740,536830,534120,565740,603030,610940,610720,607990,617410,605680,605280,589770,614880,575160,579770,612440,606410,588070,626170,666320,706900,712430,711300,698980,717930,699920,699000,758990,814010,818260,819630,811170,827940,808890,798440,782480,796570,765580,772180,851130,884680,893200,858000,830870,834740,821680,801190,777500,774850,751330,735480,791490,811950,836110,838260,832400,859800
Alameda,06001,226148.9,219306,225162,229333,232291,231250,232916,228467,225000,221093,226126,218161,216532,222896,221768,233192,239885,229129,234042,231551,224811,221656,221098,228195,212500,213194,222837,226946,221220,229885,222153,223511,219496,214925,217514,222321,209583,201699,216313,219999,219897,228279,215408,223888,212005,208918,215714,207994,207822,204389,209117,217890,205494,216705,205912,203947,211482,207390,203550,208654,194528,199258,198888,204610,209335,214090,212316,211904,210893,207414,206743,204362,201739,205250,208046,210130,213709,213414,222612,218452,218251,220375,216186,211695,213461,206818,207143,230023,230387,231725,240294,234529,234023,239244,239999,234375,229687,234772,239595,259606,255440,267806,267601,263517,257258,261234,253846,253846,248195,245121,272404,290334,301751,313474,313182,313481,285163,312879,302842,292804,323795,327747,348034,371064,369383,391288,372433,359120,361250,393343,406364,410952,391303,400962,421542,426373,394444,405389,404872,408836,385210,388753,389887,394957,390576,405181,403448,455749,447773,471222,464999,460958,459832,452391,450990,453079,441025,439080,471632,471715,471005,488474,486363,483883,483461,478347,485191,491495,489603,530746,528871,558392,591700,589285,595273,586409,590576,604464,599397,604392,584360,619320,649200,659260,665320,681540,678650,676080,666730,665100,671490,663480,645600,663950,663640,686820,682690,685580,677310,673460,659110,658650,643840,659040,651220,655090,684310,692900,709420,694780,696330,703180,662560,658420,659550,616220,561360,556300,569370,537990,528890,536310,526000,470250,427040,405400,390270,368240,324170,327370,316440,337100,374850,405260,397460,392260,432440,427180,431980,408590,383330,410230,432720,407830,472370,474520,458180,440480,424770,444670,434420,412210,363750,392660,420420,390960,415830,415300,420150,407420,390440,391710,396990,383430,340600,360670,372220,412590,430340,459760,473600,466760,454170,460670,467840,463010,466830,451580,523280,573000,593160,604600,614810,607240,604100,588600,607900,585440,559110,572630,623110,656140,680020,695210,688870,691500,652610,659660,670320,645680,610130,651950,713060,742340,763740,750000,765000,735000,731000,710000,730000,731500,700000,715000,758000,800000,828000,803000,800000,775000,760000,775000,800000,755000,755000,786000,833750,875000,862000,900000,875500,867500,853000,862450,880000,862000,840000,832000,955000,969300,1025000,1015000,970000,960000,900000,900000,900000,850000,826000,860000,911000,940000,959000,960000,950000,905500,910000,925000,910000,881500,875000,945000,970500,1030000,955000,976000,1027500,1028220,1050000,1049000,1049040,1060000,1060000,1100000,1163000,1300000,1312500,1300000,1300000,1300000,1300000,1280000,1300000,1200000,1250000,1350000,1430000,1500000,1513060,1400000,1325000,1220000,1240000,1250000,1175000,1065500,1065000,1100000,1225000,1225000,1260000,1305000,1260000,1250000
Amador,06005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248213.32,248808.55,284374.31,262499.75,281521.11,279166.08,278845.58,289999.2,290908.27,327777.5,328571.14,339999.6,341999.58,338888.5,334999.65,383332.5,373808.79,357811.92,354761.36,367856.46,372221.5,329545.16,361537.85,318749.81,349999.5,369230.08,412499.88,357142.29,362499.38,367646.38,349999.5,387499.13,363635.73,324999.75,327777.5,333333,334374.66,349999.5,366666,364285.07,314285.57,333333,294999.1,324999.75,331817.86,283332.67,259374.81,289999.2,289999.2,307142.79,266666.33,287499.25,300000,262499.75,252499.95,291665.83,224999.5,261110.89,216666.33,206249.88,204166.58,186666.33,232142.21,208333.17,200000,214285.43,224999.5,215624.69,180000,160000,169999.5,189999.5,185999.7,170000,208330,187999.6,200000,172500,167500,186670,137500,173330,160000,200000,170000,130000,171250,152500,170000,145000,130000,147140,190000,142220,135000,176670,118750,183330,160000,146670,200000,175000,196670,192000,186670,177500,184000,225000,200000,193330,219440,233330,196670,213890,252780,198000,212500,192000,180000,206250,214290,190000,242860,238890,247500,211110,225000,265000,231250,229540,210710,271430,250000,227500,233330,256250,287000,335000,240500,267000,285000,275000,215500,275000,307000,235000,268500,319000,275000,257500,243500,276500,275000,272500,295000,265000,314900,327000,350000,337500,320000,334500,315000,309000,348950,305000,330000,318500,340000,335000,331500,335000,327000,335000,325500,325000,312500,314720,324000,316000,320000,336500,342750,320000,312500,329000,325000,322000,348500,300000,335000,328000,335000,350000,321000,337500,355000,353500,359900,366500,360000,355000,386250,406280,430000,415000,427500,461000,416000,425000,432500,430640,432500,399000,400000,449000,440000,445000,445000,418250,392450,449900,400000,365000,402500,415000,422500,429500,414940,475000,449000,470000,442000,490000
Butte,06007,102142.75,83333,100000,107999.6,100000,123043.33,113570.75,113332.67,117499.13,127142.5,117999.1,125333.07,118332.42,121333.27,122999.85,118749.06,127894.34,120714.25,113570.75,120499.98,117856.25,98332.5,120624.97,124545.23,122307.58,128888.44,115453.77,122692.17,117367.55,122608.57,115554.78,111578.37,120588.21,118124.09,127646.68,109499.53,113332.67,113999.3,110999.45,114999.25,129166.21,107499.63,114209.82,124761.67,123599.82,119472.71,114165.96,108888.44,122142.75,115999.2,114705.15,124545.23,128124.59,117499.13,117893.84,114799.26,115499.23,121999.9,111249.44,121818.09,109999.5,123333.17,123333.17,121999.9,106428.25,108571,116922.23,113528.74,118887.94,118076.02,114614.65,122222.11,114209.82,114209.82,118234.38,111363.07,115861.28,118749.06,126110.81,119499.03,120000,115427.8,119165.71,113124.34,127499.63,120000,109999.5,110454.02,109129.98,115788.68,122692.17,120555.53,113999.3,115651.39,113157.24,117599.12,111249.44,109332.87,113076.27,118124.09,119695.98,121904.67,123599.82,119392.97,124545.23,122068.86,120689.62,121499.93,110499.48,125555.28,124073.87,126428.25,121111.06,128749.56,125237.83,120645.13,123809.33,133870.27,127332.97,126071.13,120000,113076.27,129654.69,124399.78,130666.13,133332.67,140952.33,138332.42,136537.63,148181.41,136249.19,148094.83,142222.11,142307.58,149166.21,141578.87,149599.52,153635.68,154374.28,153102.79,158635.43,149374.53,154799.26,152630.95,158332.42,163684.03,174090.2,165789.18,171904.17,176362.82,185789.18,187777.39,185714,182105.16,192666.03,200000,186922.73,189090.45,216428.24,209259.07,225580.88,211363.41,233749.33,221078.01,230920.43,239903.05,235713.57,221969.26,238969.81,235483.16,237244.15,244999.1,269230.38,266826.59,251744.15,273912.57,273610.64,273124.54,279999.4,276743.65,273147.69,277884.06,297825.13,316999.83,317045.28,324528.06,327884.34,339999.6,336538.1,348528.93,329411.47,325714.03,297618.1,318749.81,337804.5,323683.97,327631.3,357777.2,336841.74,317021.11,344594.15,320512.62,297999.04,307407.33,292104.42,317187.33,326922.81,322916.44,297915.71,326249.74,323683.97,293547.52,294229.88,288749.23,296874.06,297057.88,303124.97,271874.56,256249.88,279999.4,288460.77,288749.23,261363.41,272221.78,251470.56,256578.82,268749.63,255952.26,247726.32,238157.13,247499.05,238888.11,242306.85,257999.84,267707.98,227631.03,245832.42,236110.39,255555.44,245237.19,250000,219230.38,250000,238000,236760,229463.7,235710,243420,225000,244050,208930,230000,180000,190000,222370,217040,222620,221050,196430,201320,197690,186150,207950,198750,194000,177860,200000,197620,211290,221050,215740,226090,207140,210940,223860,236460,208930,211760,250000,234000,238300,265000,239280,281820,250000,248330,255950,231100,227500,217650,221550,231670,237880,245000,276140,241450,235710,233780,241910,231820,231730,247320,233930,253850,261110,253660,265000,264250,248000,262000,235000,256500,260000,264960,286810,272750,271000,275000,288750,264120,275000,293000,279000,294250,264000,290000,287500,302900,308000,306500,299900,291000,311900,307700,315000,304000,314750,297000,315000,316000,324100,323000,315000,315000,320000,318000,326940,356560,376000,345450,369000,360000,359000,384000,374280,353150,358750,358250,350000,351720,355860,338750,365000,377500,362000,390000,395000,415000,403300,401500,405000,408460,420000,397000,406000,438500,449000,438000,454500,435000,440880,460000,435000,439500,456000,426500,465000,467250,500000,445000,450000,441000,429780,438750,435000,408500,410000,405000,421650,469000,436950,413500,429000,436250
Calaveras,06009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188571,197499.13,176665.83,183333.17,187499.63,187999.6,252499.95,184999.75,175999.2,196665.83,188571,187999.6,203571.36,193332.67,192856.5,197999.1,194285,219117.26,228124.44,235713.57,229999.4,239061.72,233332.67,233927.89,226922.54,227272.18,250000,253124.94,239284.93,252272.68,259374.81,263333.07,270832.92,256818.05,280554.94,323529.18,287499.25,296427.64,287499.25,296874.06,291665.83,317499.83,312499.88,333333,379165.88,352940.65,365383.96,343749.56,318749.81,366666,384374.16,379999.2,400000,405882.29,434615.04,393749.06,406666.6,429999.7,459999.4,476922.31,489999.1,384614.54,404545.41,427777.5,354999.45,423333.1,412499.88,395453.59,359374.41,386362.77,389999.1,360713.68,361110.5,489999.1,349999.5,387499.13,396427.61,369999.3,331817.86,379165.88,342856.71,370832.63,346153.38,364999.35,291665.83,357142.29,349999.5,313636.23,309090.82,316666.5,269999.6,269444.06,268749.63,247499.05,228124.44,254166.58,231249.38,229999.4,181999.9,177499.13,219444.06,243749.13,171428,237499.25,264999.7,207142.71,231249.38,220832.92,165999.7,193332.67,184999.75,193332.67,191999.4,192499.38,201666.63,203124.94,172221.61,194999.25,180000,181999.9,163333.17,153332.67,169999.5,157142,147499.63,198332.42,149999.5,163749.81,161428.5,180000,148571,161428.5,156249.19,169999.5,154285,133749.31,169999.5,152999.35,191249.44,166666.33,154999.25,171110.56,180000,156249.19,180000,189999.5,213235.03,202941.12,209999.8,189999.5,223683.74,224999.5,207692.15,217856.79,202272.68,202499.95,204166.58,220454.14,238888.11,239061.72,243332.47,253409.02,240788.66,240000,233330,247370,230550,243750,228120,230000,258330,258330,296870,256580,270000,249000,262000,246940,246250,270000,258750,262500,270000,276000,287500,315000,291000,310000,285000,300050,268500,288000,285000,294500,292000,318500,300000,310000,324500,345000,340000,298000,318000,285000,306500,311500,325000,340000,329000,313000,330000,340000,328000,302500,325000,310000,335000,340000,308250,340000,375000,330000,325500,346360,330000,356110,343500,339500,343500,355000,352000,332250,330000,363000,349900,381000,392000,393640,407120,397500,398500,441500,435850,475000,473800,488280,463500,485000,468500,432000,465320,489000,467500,510000,492000,504500,525000,495000,459900,464950,450000,414500,444000,449500,455000,437500,438000,495000,550000,459000,476500,475000
Contra-Costa,06013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614020,614850,640450,631360,652050,671320,657420,643320,620700,605630,632100,602650,624340,634520,649460,669980,698420,683200,685650,649860,600960,569890,530900,491180,476610,432890,397310,385310,390730,368260,350920,320050,294790,281820,273140,253790,231250,224620,225820,235030,241960,261840,278820,276030,271960,295440,304420,294440,274100,278350,287800,298850,308330,326970,318110,313200,310840,289830,281400,287080,257930,267270,273350,286320,283950,299360,292620,294060,282000,275710,279330,275180,258430,252150,283010,317140,345180,341100,364020,334080,352260,330370,346370,360110,339340,346670,386410,462720,484640,491080,508720,482530,454760,446060,457080,451490,397760,441280,464350,494280,519670,510990,546580,538510,499220,490480,457630,483330,442440,476340,491780,553030,557060,555000,550000,560000,525000,505000,550000,500000,500000,529000,548780,565000,595000,625000,625000,570000,549900,535650,569000,550000,540000,554250,585000,653694,653000,660000,633250,627860,605000,615000,615000,600000,555000,610000,655000,689660,687500,702370,680000,650000,650000,657000,641000,612500,595000,649480,644000,679000,700360,698000,660000,672750,656000,681250,640000,665000,614000,635250,711000,710000,690000,750500,785000,805000,783000,787250,810000,763000,765000,817500,920000,990000,1015000,990000,940000,889500,897000,900500,876000,830000,829000,935000,965900,1050000,999000,925000,880000,850000,882000,867000,890000,777500,736500,760000,852500,900000,888000,930000,900000,844440
Del Norte,06015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189999.5,180000,140000,274999.5,250000,254166.58,200000,212499.75,156665.83,194999.25,193332.67,149999.5,184999.75,194999.25,189999.5,160000,149999.5,140000,149999.5,184999.75,94999.5,140000,124999.75,149999.5,224999.5,216666.33,140000,124999.75,160000,208333.17,173332.67,109999.5,189999.5,163333.17,250000,154999.25,140000,120000,146666.33,134999.25,153332.67,160000,180000,180000,169999.5,237499.25,149999.5,180000,140000,160000,164999.75,140000,147499.63,137499.13,156665.83,109999.5,124999.75,180000,140000,124999.75,129999.5,224999.5,160000,160000,169999.5,200000,163333.17,157500,140000,157500,132500,155000,160000,200000,140000,132220,170000,212500,206000,190000,216500,249000,265000,195000,157000,175000,199000,315000,189500,198750,201280,174500,239500,264500,225000,232250,218500,265000,130000,239000,220000,165000,204900,214950,224300,220000,214000,251500,198500,216500,200000,239000,214000,312500,210000,249900,205000,223000,250000,243900,217000,245000,253020,216500,256850,353500,275000,264180,280000,247500,252500,276780,227000,297000,233500,240000,338450,242000,332000,283500,308000,325000,308750,346000,399000,359000,309000,364170,415000,358500,355000,357500,437500,360100,384380,291000,372500,390000,398000,357500,320000,400690,376000,378960,418750,389900,367500,331250,300000,300000,400000,315000,315000,410000,349000,382500
El Dorado,06017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329411.47,349999.5,349999.5,324390,334523.46,348999.51,339215.29,314285.57,294116.76,298025.36,327380.68,315789.32,324999.75,307575.68,311956.4,311956.4,317999.82,335226.92,325581.14,290150.71,296211.2,275861.55,289842.95,298808.55,279544.86,248999.02,278332.77,278124.44,261999.76,295453.64,265150,277680,238750,256580,241670,266410,250000,242570,277270,257410,277270,252840,280830,268380,279170,276350,282260,292420,283570,307900,329170,344170,338240,342250,350760,355840,334910,367390,361860,360580,335000,332050,385710,366950,374240,372950,385160,391670,364650,355800,374540,385230,375000,384880,393400,405170,436510,410320,420750,383000,399000,385000,394950,413750,405000,422000,435010,432000,429500,461550,425000,425000,419000,419000,442000,434500,414250,419500,450000,474500,469000,499000,480500,485000,449950,445000,470000,450000,480000,468000,510000,499999,552000,525000,504000,480000,465000,500000,461750,454500,460000,495000,506160,524000,521380,497500,510500,525000,489900,490000,485000,465000,442120,465000,507500,500000,535000,510000,550000,570000,588000,559000,585000,538350,600000,577500,652500,654750,688000,702000,655000,680890,650000,615000,665000,620000,607500,730000,750000,711000,730000,715000,650000,627000,647450,684000,612500,591000,567500,619000,625000,717220,660000,700000,650000,657000
